"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000367","Cardiff 001","W06000015","Cardiff","W92000004","Wales",960,1100,840,260
"W02000368","Cardiff 002","W06000015","Cardiff","W92000004","Wales",920,1050,800,250
"W02000369","Cardiff 003","W06000015","Cardiff","W92000004","Wales",980,1120,850,270
"W02000370","Cardiff 004","W06000015","Cardiff","W92000004","Wales",830,950,730,220
"W02000371","Cardiff 005","W06000015","Cardiff","W92000004","Wales",650,750,570,180
"W02000372","Cardiff 006","W06000015","Cardiff","W92000004","Wales",1000,1150,880,270
"W02000373","Cardiff 007","W06000015","Cardiff","W92000004","Wales",590,670,520,160
"W02000374","Cardiff 008","W06000015","Cardiff","W92000004","Wales",1000,1150,870,280
"W02000375","Cardiff 009","W06000015","Cardiff","W92000004","Wales",680,770,590,180
"W02000376","Cardiff 010","W06000015","Cardiff","W92000004","Wales",750,860,660,190
"W02000377","Cardiff 011","W06000015","Cardiff","W92000004","Wales",730,830,640,190
"W02000378","Cardiff 012","W06000015","Cardiff","W92000004","Wales",900,1020,790,230
"W02000379","Cardiff 013","W06000015","Cardiff","W92000004","Wales",520,600,460,140
"W02000380","Cardiff 014","W06000015","Cardiff","W92000004","Wales",1010,1160,880,270
"W02000381","Cardiff 015","W06000015","Cardiff","W92000004","Wales",550,630,480,150
"W02000382","Cardiff 016","W06000015","Cardiff","W92000004","Wales",510,590,450,140
"W02000383","Cardiff 017","W06000015","Cardiff","W92000004","Wales",560,640,490,150
"W02000384","Cardiff 018","W06000015","Cardiff","W92000004","Wales",1010,1150,880,270
"W02000385","Cardiff 019","W06000015","Cardiff","W92000004","Wales",1020,1190,870,330
"W02000386","Cardiff 020","W06000015","Cardiff","W92000004","Wales",830,950,730,220
"W02000387","Cardiff 021","W06000015","Cardiff","W92000004","Wales",900,1020,790,240
"W02000388","Cardiff 022","W06000015","Cardiff","W92000004","Wales",670,760,590,170
"W02000389","Cardiff 023","W06000015","Cardiff","W92000004","Wales",610,690,530,160
"W02000390","Cardiff 024","W06000015","Cardiff","W92000004","Wales",850,970,740,230
"W02000391","Cardiff 025","W06000015","Cardiff","W92000004","Wales",780,920,660,260
"W02000392","Cardiff 026","W06000015","Cardiff","W92000004","Wales",950,1080,830,250
"W02000393","Cardiff 027","W06000015","Cardiff","W92000004","Wales",560,640,490,150
"W02000394","Cardiff 028","W06000015","Cardiff","W92000004","Wales",760,920,630,300
"W02000395","Cardiff 029","W06000015","Cardiff","W92000004","Wales",880,1010,770,240
"W02000396","Cardiff 030","W06000015","Cardiff","W92000004","Wales",730,850,630,220
"W02000397","Cardiff 031","W06000015","Cardiff","W92000004","Wales",610,690,530,160
"W02000398","Cardiff 032","W06000015","Cardiff","W92000004","Wales",690,880,540,340
"W02000399","Cardiff 033","W06000015","Cardiff","W92000004","Wales",610,700,520,180
"W02000400","Cardiff 034","W06000015","Cardiff","W92000004","Wales",910,1050,780,270
"W02000401","Cardiff 035","W06000015","Cardiff","W92000004","Wales",830,940,720,220
"W02000402","Cardiff 036","W06000015","Cardiff","W92000004","Wales",560,640,480,160
"W02000403","Cardiff 037","W06000015","Cardiff","W92000004","Wales",530,610,460,150
"W02000404","Cardiff 038","W06000015","Cardiff","W92000004","Wales",550,630,480,150
"W02000405","Cardiff 039","W06000015","Cardiff","W92000004","Wales",440,510,390,120
"W02000406","Cardiff 040","W06000015","Cardiff","W92000004","Wales",680,780,600,180
"W02000407","Cardiff 041","W06000015","Cardiff","W92000004","Wales",500,570,440,130
"W02000408","Cardiff 042","W06000015","Cardiff","W92000004","Wales",530,600,460,140
"W02000409","Cardiff 043","W06000015","Cardiff","W92000004","Wales",570,650,500,150
"W02000410","Cardiff 044","W06000015","Cardiff","W92000004","Wales",580,670,510,160
"W02000411","Cardiff 045","W06000015","Cardiff","W92000004","Wales",530,610,470,140
"W02000412","Cardiff 046","W06000015","Cardiff","W92000004","Wales",560,640,490,150
"W02000422","Cardiff 048","W06000015","Cardiff","W92000004","Wales",990,1180,830,350
"W02000423","Cardiff 049","W06000015","Cardiff","W92000004","Wales",690,790,600,190
