LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01032340,Wychavon 013A,E07000238,Wychavon,8.07,6.75,-15.27,13.91,8.59,16.97,8.92,6.77,-19.19,15.24,12.95,18.40,7.23,6.73,-11.54,12.56,4.61,15.79
E01032341,Wychavon 013B,E07000238,Wychavon,3.64,3.93,-25.17,-2.2,-0.84,31.65,2.83,10.59,-30.26,-3.08,-4.57,33.57,4.48,-2.15,-19.4,-1.19,2.75,29.71
E01032342,Wychavon 016A,E07000238,Wychavon,51.84,60.65,57.47,59.04,26.04,43.20,45.58,55.95,31.87,54.49,16.44,60.00,58.2,65.29,85.54,63.58,37.82,29.79
E01032343,Wychavon 014A,E07000238,Wychavon,6.35,3.43,-14.95,6.05,17.77,15.67,9.41,20.28,-13.18,7.63,12.90,20.74,3.26,-8.21,-16.45,4.15,23.73,11.52
E01032344,Wychavon 016B,E07000238,Wychavon,44.6,57.2,54.48,71.5,24.85,20.28,42.49,46.56,26.67,73.1,20.35,32.48,46.71,69.64,89.83,69.95,29.75,10.61
E01032345,Wychavon 007A,E07000238,Wychavon,1.71,-12.41,15.08,-11.09,2.92,30.92,1.5,-14.08,36.84,-11.52,-1.64,28.79,1.91,-10.48,-2.9,-10.71,8.18,33.08
E01032346,Wychavon 007B,E07000238,Wychavon,6.38,4.15,21.5,-5.69,4.31,23.83,4.78,5.65,25.42,-9.38,1.23,19.70,7.99,2.56,16.67,-2.36,7.41,28.23
E01032347,Wychavon 019A,E07000238,Wychavon,2.66,5.24,-13.28,-1.04,0.71,15.33,1.89,0.9,-15.15,0,1.43,14.96,3.41,10.1,-11.29,-2.06,0,15.65
E01032348,Wychavon 019B,E07000238,Wychavon,6.99,-5,21.15,-5.83,8.2,24.73,9.51,-3.57,51.92,-3.82,3.18,27.27,4.51,-6.82,-9.62,-7.53,13.51,22.45
E01032349,Wychavon 013C,E07000238,Wychavon,7.55,-0.97,5.66,2.19,9.04,20.45,8.21,6.12,-1.19,2.27,12.14,19.44,6.93,-7.41,13.33,2.11,6.08,21.34
E01032350,Wychavon 013D,E07000238,Wychavon,14.44,30.82,11.65,13.66,-4.74,27.93,14.34,15.19,14.29,17.22,-3.25,29.91,14.53,49.25,8.51,10.53,-6.15,26.09
E01032351,Wychavon 018A,E07000238,Wychavon,8.02,-6.94,-6.74,0.33,11.21,15.65,8.09,-18.52,-2.08,-3.8,15.38,20.99,7.96,7.94,-12.2,4.79,7.65,11.73
E01032352,Wychavon 018B,E07000238,Wychavon,-0.92,-5.15,-14.89,-12.18,-2.49,22.41,1.88,3.03,-6.45,-10.48,-3.52,25.29,-3.57,-13.68,-21.52,-13.78,-1.48,19.67
E01032353,Wychavon 018C,E07000238,Wychavon,3.6,-1.29,13.73,-4.78,9.83,7.19,6.58,3.57,7.41,0,8.63,14.36,0.95,-5.83,20.83,-9.36,10.9,1.95
E01032354,Wychavon 001A,E07000238,Wychavon,7.68,12.14,0.39,4.38,17.22,4.28,9.31,10.22,9.6,2.83,24.79,4.41,6.11,14.44,-8.21,5.94,10.08,4.18
E01032355,Wychavon 009A,E07000238,Wychavon,-4.69,-14.59,-8.7,-20.42,0.9,18.06,-2.12,-4.4,-2.82,-28.28,3.61,31.34,-7.16,-24.47,-13.33,-11.73,-1.8,6.49
E01032356,Wychavon 009B,E07000238,Wychavon,4.3,16.04,21,0.53,-9.64,9.27,0.56,11.24,1.89,-0.57,-7.63,1.96,7.77,20.41,42.55,1.5,-11.45,16.50
E01032357,Wychavon 004A,E07000238,Wychavon,-1.58,12.05,-25.85,-2.99,-4.49,8.70,-1.01,13.19,-18.18,-3.72,-4.41,8.91,-2.14,10.67,-34.29,-2.22,-4.58,8.55
E01032358,Wychavon 004B,E07000238,Wychavon,-2.34,-9.47,-16.02,-4.08,14.34,0.37,0.13,-9.09,-23.3,-1.13,16.42,15.93,-4.81,-9.91,-6.41,-6.93,12.21,-10.97
E01032359,Wychavon 003A,E07000238,Wychavon,6.32,6.63,-13.46,4.49,8.5,11.20,6.85,2.15,-8.22,9.42,6.17,11.11,5.86,12.33,-18.07,-0.45,11.11,11.25
E01032360,Wychavon 003B,E07000238,Wychavon,0.15,-5,-7.08,2.24,-1.52,8.43,-0.9,-9.6,-13.28,4.89,-0.51,7.78,1.21,0,1.02,-0.31,-2.5,8.99
E01032361,Wychavon 003C,E07000238,Wychavon,1.76,3.1,-18.33,2.67,-10.82,25.43,-0.23,-3.39,-7.78,2.21,-14.56,19.64,3.78,10.19,-28.89,3.17,-7.31,30.90
E01032362,Wychavon 005A,E07000238,Wychavon,4.52,-11.35,19.59,-1.85,5.84,33.80,6.21,-6.72,11.3,1.5,6.15,37.12,2.85,-16.36,31.65,-4.89,5.56,30.92
E01032363,Wychavon 005B,E07000238,Wychavon,-0.59,6.83,-21.59,-3.87,-10.19,28.41,-2.41,4.13,-27.96,-4.13,-11.39,26.92,1.36,10.71,-14.46,-3.59,-9.05,29.85
E01032364,Wychavon 005C,E07000238,Wychavon,3.95,-14.81,16.77,-7.5,9.33,30.62,1.94,-19.86,4.76,-4.15,3.90,34.43,5.89,-9.93,29.87,-10.53,15.07,27.21
