LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01000883,Neath Port Talbot 016A,W06000012,Neath Port Talbot,0.92,-9.87,-28.85,-7.29,-4.76,56.25,0,-2.44,-28.4,-4.07,-9.57,51.85,1.87,-18.57,-29.33,-10.78,0,60.34
W01000884,Neath Port Talbot 017A,W06000012,Neath Port Talbot,-2.9,-3.54,-12.43,-7.61,18.66,-5.52,-1.21,-6.34,-1.14,-9.84,30.77,-7.32,-4.71,0,-22.68,-4.93,6.67,-4.04
W01000885,Neath Port Talbot 017B,W06000012,Neath Port Talbot,8.18,9.69,-19.79,14.92,33.33,-4.98,4.52,3.05,-29,14.15,29.03,-2.83,11.58,16.54,-9.2,15.61,37.14,-6.67
W01000886,Neath Port Talbot 017C,W06000012,Neath Port Talbot,5.05,8.78,-6.31,10.48,-1.77,7.73,5.09,9.09,-1.87,7.29,-5.96,18.60,5,8.45,-10.43,14.35,3.05,-2.11
W01000887,Neath Port Talbot 005A,W06000012,Neath Port Talbot,-1.69,-2.32,-9.42,-3.01,-3.89,12.23,-1.11,2.9,-22.45,-0.74,-1.33,12.18,-2.26,-7.69,5.43,-5.19,-6.3,12.28
W01000888,Neath Port Talbot 004A,W06000012,Neath Port Talbot,4.94,-6.17,-5.2,-2.7,17.21,29.45,5.01,-3.67,-2.84,-2.81,9.66,38.71,4.87,-9.09,-7.95,-2.59,25.34,21.81
W01000889,Neath Port Talbot 015A,W06000012,Neath Port Talbot,-2.38,-4.53,-19.9,-10.61,2.32,16.49,-1.41,1.64,-17.59,-11.58,5.53,16.02,-3.34,-9.79,-22.45,-9.59,-1.06,16.91
W01000890,Neath Port Talbot 015B,W06000012,Neath Port Talbot,-4.07,-19.55,-8.88,-6.98,-6.97,17.51,-3.22,-14.88,-12.94,-8.21,-5.10,20.24,-4.87,-23.45,-4.76,-5.65,-8.64,15.05
W01000891,Neath Port Talbot 015C,W06000012,Neath Port Talbot,0,4.92,-14.29,-1.57,8.11,0.00,0.83,0.76,-2.27,-0.81,7.75,-0.80,-0.77,9.82,-26.44,-2.29,8.46,0.54
W01000892,Neath Port Talbot 015D,W06000012,Neath Port Talbot,0.52,8.03,1.09,-2.27,-4.25,3.36,-2.66,5.93,-18.63,0,-12.32,5.09,3.63,10.07,25.93,-4.53,4.06,1.92
